DATABASE	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)
cpd09027	-184.24	1.59004
cpd09028	-304.78	3.18677
cpd09029	10000000	10000000
cpd09030	-16.11	1.68672
cpd09031	-56.33	2.76757
cpd09032	10000000	10000000
cpd09033	10000000	10000000
cpd09034	-214.29	3.64227
cpd09035	-174.45	3.60714
cpd09036	-56.13	4.62877
cpd09037	-145.47	5.35186
cpd09038	72.82	4.16783
cpd09039	65.19	2.79152
cpd09040	10000000	10000000
cpd09041	-88.52	2.1108
cpd09042	0.81	1.8484
cpd09043	-123.44	2.43307
cpd09044	10000000	10000000
cpd09045	10000000	10000000
cpd09046	10000000	10000000
cpd09047	10000000	10000000
cpd09048	-157.2	0.949886
cpd09049	-302.33	1.40025
cpd09050	38.63	2.53288
cpd09051	-31.69	1.94037
cpd09053	10000000	10000000
cpd09054	-537.32	1.7793
cpd09056	-109.81	1.54264
cpd09057	10000000	10000000
cpd09058	-286.75	2.88704
cpd09059	19.58	1.09469
cpd09060	16.34	1.39268
cpd09061	26.16	1.10052
cpd09062	-74.88	0.728832
cpd09063	-77.93	0.582458
cpd09064	-71.26	0.77675
cpd09065	-52.58	0.543257
cpd09066	-2.69	1.10674
cpd09067	-24.49	0.81292
cpd09068	-77.93	0.582458
cpd09069	-58.21	1.32735
cpd09070	-49.84	0.853657
cpd09071	-24.95	1.0998
cpd09072	-48.24	1.12677
cpd09073	-38.95	1.31787
cpd09074	-22.21	2.50111
cpd09075	-44.11	0.907121
cpd09076	-77.74	0.543128
cpd09077	-88.38	0.988909
cpd09078	-30.03	1.40544
cpd09079	-21.09	0.729481
cpd09080	10000000	10000000
cpd09081	10000000	10000000
cpd09082	10000000	10000000
cpd09083	-92.63	3.45094
cpd09084	-1.78	1.53193
cpd09085	-60.6	1.10737
cpd09086	-94.94	1.28765
cpd09087	-193.13	2.44277
cpd09088	-124.34	0.414886
cpd09089	-605.24	2.77206
cpd09090	-606.56	2.72156
cpd09091	-606.56	2.72156
cpd09092	-613.12	2.74617
cpd09093	-613.12	2.74617
cpd09094	-92.15	0.896952
cpd09095	-827.92	3.71302
cpd09096	-157.95	1.12362
cpd09097	-34.38	3.36974
cpd09098	-61.79	2.31778
cpd09099	-32.49	2.43772
cpd09100	-44.76	2.40529
cpd09101	-63.68	3.29125
cpd09102	-49.6	3.33893
cpd09103	-9.17	2.94127
cpd09104	-80.32	2.85158
cpd09105	-31.84	3.36881
cpd09106	6.2	3.35004
cpd09107	-2.339	3.267
cpd09108	-16.989	3.18035
cpd09109	-56.469	3.35347
cpd09110	-53.219	3.18097
cpd09111	-14.899	3.59725
cpd09112	-56.829	3.21967
cpd09113	-0.249	3.77728
cpd09114	-70.16	1.48967
cpd09115	-41.199	2.21326
cpd09116	-18.72	1.96568
cpd09117	20.76	1.90347
cpd09118	-770.28	1.20439
cpd09119	-210.8	3.14615
cpd09120	-195.869	3.75831
cpd09121	-232.249	3.90401
cpd09122	-217.599	3.91564
cpd09123	-202.949	3.97639
cpd09124	-198.799	4.00757
cpd09125	-182.92	4.05782
cpd09126	-191.719	3.78501
cpd09127	-113.239	3.59561
cpd09128	-228.099	3.92972
cpd09129	-149.619	3.71677
cpd09130	-134.969	3.72899
cpd09131	-213.449	3.94429
cpd09132	-345.079	6.7885
cpd09133	-310.769	6.95275
cpd09134	-408.729	7.39973
cpd09135	-257.939	4.30893
cpd09136	-243.289	4.3158
cpd09137	-325.699	4.63078
cpd09138	-408.109	5.28137
cpd09139	-491.839	6.09204
cpd09141	-658.289	8.26146
cpd09142	-677.319	7.68826
cpd09143	-110.139	3.61155
cpd09144	-85.09	3.68082
cpd09145	-53.3	3.47206
cpd09146	10000000	10000000
cpd09147	10000000	10000000
cpd09148	-186.06	5.04685
cpd09149	-98.95	4.07056
cpd09150	-70.659	3.54123
cpd09151	-56.009	3.56297
cpd09152	-106.889	3.55183
cpd09153	-92.239	3.56574
cpd09154	-146.79	3.53856
cpd09155	-138.43	4.09405
cpd09156	-237.12	4.38916
cpd09157	-197.64	4.3328
cpd09158	-240.21	4.89445
cpd09159	-322.62	5.72533
cpd09160	-228.42	4.47149
cpd09161	-320.88	7.22084
cpd09162	-353.4	5.83099
cpd09163	-323.89	6.89147
cpd09164	-491.44	8.65905
cpd09165	-278.31	6.85259
cpd09166	-445.86	8.53638
cpd09167	-363.45	7.78683
cpd09168	-216.66	3.13281
cpd09169	-215.72	4.10349
cpd09170	-220.53	3.16568
cpd09171	-220.73	4.01808
cpd09172	-161	3.14048
cpd09173	-197.38	3.31346
cpd09174	-193.23	3.34372
cpd09175	-214.1	4.10443
cpd09176	-219.11	4.01904
cpd09177	-258.59	4.07974
cpd09178	-305.75	4.40434
cpd09179	-309.9	4.3787
cpd09180	-228.46	4.35345
cpd09181	-213.81	4.40096
cpd09182	-251.85	4.41894
cpd09183	-266.5	4.37525
cpd09184	-258.48	4.35628
cpd09185	-251.85	4.41894
cpd09186	-109.21	2.6707
cpd09187	-111.71	2.55665
cpd09188	-148.09	2.70193
cpd09189	-137.25	3.19174
cpd09190	-180.39	4.05529
cpd09191	-36.39	3.51035
cpd09192	-4.14	1.84724
cpd09193	10000000	10000000
cpd09194	-611.8	2.81286
cpd09195	-648.37	2.75362
cpd09196	-647.05	2.82013
cpd09197	-647.05	2.82013
cpd09198	-607.21	2.75177
cpd09199	10000000	10000000
cpd09200	10000000	10000000
cpd09201	10000000	10000000
cpd09202	-194.71	2.9716
cpd09203	10000000	10000000
cpd09204	10000000	10000000
cpd09205	120.92	2.96743
cpd09206	-30.17	0.434343
cpd09207	-90.46	1.20393
cpd09208	-102.56	1.19644
cpd09209	-67.69	1.19081
cpd09210	-14.99	1.19691
cpd09211	-92.58	2.08152
cpd09212	-90.95	2.03168
cpd09213	-96.31	2.12106
cpd09214	-115.14	2.78897
cpd09215	-238.71	3.16455
cpd09216	-224.06	3.24185
cpd09217	-111.41	2.76761
cpd09218	-234.98	3.15329
cpd09219	-220.33	3.23453
cpd09220	-125.16	1.39813
cpd09221	-168.88	2.89592
cpd09222	-212.6	4.91186
cpd09223	-430.44	5.8976
cpd09224	-688.21	2.84904
cpd09225	10000000	10000000
cpd09227	95.191	2.89279
cpd09228	10000000	10000000
cpd09230	-56.82	1.53126
cpd09231	10000000	10000000
cpd09232	-46.17	3.51618
cpd09234	-49.38	7.18835
cpd09235	97.55	5.12747
cpd09236	10000000	10000000
cpd09237	11.56	3.97429
cpd09238	-88.29	0.5
cpd09239	10000000	10000000
cpd09240	-62.8825	6.12934
cpd09241	66.42	3.01738
cpd09242	10000000	10000000
cpd09243	10000000	10000000
cpd09244	-56.687	0.5
cpd09245	-38.92	2.11284
cpd09246	-38.21	1.27823
cpd09247	10000000	10000000
cpd09248	10000000	10000000
cpd09249	10000000	10000000
cpd09250	10000000	10000000
cpd09251	10000000	10000000
cpd09252	-71.75	1.10005
cpd09253	-104.93	1.46977
cpd09254	-111.23	1.26745
cpd09255	-167.42	1.67752
cpd09256	-367.15	3.17004
cpd09257	-304.78	3.18677
cpd09258	-388.77	4.26203
cpd09259	-396.35	4.38152
cpd09260	-390.4	4.34286
cpd09261	-428.25	4.36975
cpd09262	-153.65	2.27251
cpd09263	-550.92	4.34217
cpd09264	-201.91	2.9081
cpd09265	-463.26	4.3652
cpd09266	-621.74	5.70513
cpd09267	-644.19	6.08485
cpd09268	-464.52	4.34353
cpd09269	-459.54	3.32099
cpd09270	-335.56	3.41874
cpd09271	10000000	10000000
cpd09272	10000000	10000000
cpd09273	10000000	10000000
cpd09274	10000000	10000000
cpd09275	10000000	10000000
cpd09276	10000000	10000000
cpd09277	10000000	10000000
cpd09278	10000000	10000000
cpd09279	-280.44	0.496391
cpd09280	10000000	10000000
cpd09281	-1.35	0.912701
cpd09282	10000000	10000000
cpd09283	-263.11	3.13106
cpd09284	10000000	10000000
cpd09285	10000000	10000000
cpd09286	-502.74	4.47753
cpd09287	-661.22	5.79974
cpd09288	10000000	10000000
cpd09289	10000000	10000000
cpd09290	-59.84	2.88057
cpd09291	-139.35	2.93652
cpd09292	10000000	10000000
cpd09294	10000000	10000000
cpd09295	10000000	10000000
cpd09296	10000000	10000000
cpd09297	5.9	2.61466
cpd09298	9.87	7.25031
cpd09299	-28.05	4.7699
cpd09300	10000000	10000000
cpd09301	10000000	10000000
cpd09302	-103.31	2.30976
cpd09303	10000000	10000000
cpd09304	10000000	10000000
cpd09305	10000000	10000000
cpd09306	-1.89	1.18344
cpd09307	43.6	5.00795
cpd09308	-121.78	1.04182
cpd09309	10000000	10000000
cpd09310	-63.54	2.06455
cpd09311	-54.8	1.84944
cpd09312	-134.44	1.90799
cpd09313	-108.82	2.58877
cpd09314	-181.7	1.04277
cpd09315	-196.48	0.704222
cpd09316	-48.44	1.22779
cpd09317	-100.2	2.45341
cpd09318	-111.26	2.01865
cpd09319	10000000	10000000
cpd09320	-131.632	1.12874
cpd09321	10000000	10000000
cpd09322	-56.13	4.35311
cpd09323	10000000	10000000
cpd09324	-43.4	2.2682
cpd09325	4.13	1.67099
cpd09326	-33.86	3.37108
cpd09327	38.89	2.09669
cpd09328	-244.44	6.84277
cpd09329	-64.39	0.96946
cpd09330	10000000	10000000
cpd09331	-140.26	0.5
cpd09332	54.92	5.33847
cpd09333	37.01	1.74978
cpd09334	-11.51	1.92455
cpd09335	44.24	2.44536
cpd09336	34	7.48477
cpd09337	10000000	10000000
cpd09338	133.81	4.29842
cpd09339	-178.43	1.14152
cpd09340	10000000	10000000
cpd09341	-169.66	4.15708
cpd09342	-14.33	2.55521
cpd09343	-128.59	3.08355
cpd09344	26.45	5.50468
cpd09345	52.82	3.90215
cpd09346	-3.81	7.21369
cpd09347	-76.1	2.39756
cpd09348	-10.2	2.83782
cpd09349	-192.11	0.756758
cpd09350	-407.01	0.769961
cpd09351	-139.41	0.750077
cpd09352	-113.64	0.792526
cpd09353	-47.29	1.22353
cpd09354	24.7	1.31158
cpd09355	-40.069	2.13151
cpd09356	-298.862	3.99424
cpd09357	10000000	10000000
cpd09358	-34.21	1.05326
cpd09359	-276.66	4.61773
cpd09360	124.61	7.26402
cpd09361	10000000	10000000
cpd09362	-199.37	2.19468
cpd09363	10000000	10000000
cpd09364	10000000	10000000
cpd09365	-784.53	4.29268
cpd09366	-237.37	4.38196
cpd09367	-157.46	0.435847
cpd09368	10000000	10000000
cpd09369	-191.92	2.60326
cpd09370	-95.2	4.41461
cpd09371	10000000	10000000
cpd09372	10000000	10000000
cpd09373	-139.69	4.41362
cpd09374	-9.66	1.75883
cpd09375	10000000	10000000
cpd09376	10000000	10000000
cpd09377	-124.14	2.96223
cpd09378	10000000	10000000
cpd09379	-108.68	2.02514
cpd09380	-84.4	4.00227
cpd09381	10000000	10000000
cpd09382	10000000	10000000
cpd09383	10000000	10000000
cpd09384	-47.84	1.59796
cpd09385	10000000	10000000
cpd09386	10000000	10000000
cpd09387	10000000	10000000
cpd09388	21.07	1.67254
cpd09389	-146.31	7.1
cpd09390	10000000	10000000
cpd09391	10000000	10000000
cpd09392	10000000	10000000
cpd09393	10000000	10000000
cpd09394	-1109.36	10.6092
cpd09395	10000000	10000000
cpd09396	-177.97	0.5
cpd09397	-177.97	0.5
cpd09398	-261.974	0.5
cpd09399	10000000	10000000
cpd09400	-177.97	0.5
cpd09401	64.46	20.0534
cpd09402	-56.96	1.91476
cpd09403	-27.26	0.494796
cpd09404	222.785	8.46177
cpd09405	-182.24	2.75548
cpd09406	10000000	10000000
cpd09407	13.74	4.00713
cpd09408	76.66	2.09148
cpd09409	-314.09	3.68454
cpd09410	28.71	2.18366
cpd09411	10000000	10000000
cpd09412	-31.72	2.0741
cpd09413	-47.46	3.45169
cpd09414	-39.86	0.916497
cpd09415	-448.535	3.10648
cpd09416	-35.94	1.45567
cpd09417	-200.82	6.89161
cpd09418	10000000	10000000
cpd09419	10000000	10000000
cpd09420	10000000	10000000
cpd09421	-441.38	2.81592
cpd09422	10000000	10000000
cpd09423	75.84	3.96715
cpd09424	-290.8	2.11804
cpd09425	10000000	10000000
cpd09426	10000000	10000000
cpd09427	10000000	10000000
cpd09428	-161.75	6.85521
cpd09429	72.76	3.21881
cpd09430	-10.39	1.91115
cpd09431	10000000	10000000
cpd09432	10000000	10000000
cpd09433	10000000	10000000
cpd09434	60.72	13.7187
cpd09435	-138.42	2.11039
cpd09436	-17.61	4.09557
cpd09437	-403.68	5.48472
cpd09438	-403.68	5.48472
cpd09439	-50.38	6.44874
cpd09440	-103.08	6.44761
cpd09441	-32.74	1.54593
cpd09442	-40.67	1.49852
cpd09443	137.34	5.8673
cpd09444	-242.56	1.21348
cpd09445	-148.36	2.76704
cpd09446	-206.97	4.47152
cpd09447	10000000	10000000
cpd09448	10000000	10000000
cpd09449	-301.42	2.67613
cpd09450	0	0.5
cpd09451	10000000	10000000
cpd09452	10000000	10000000
cpd09453	-33.345	5.30587
cpd09454	-563.82	6.62157
cpd09455	-29.92	3.2922
cpd09456	-179.9	3.78476
cpd09457	-385.54	1.95903
cpd09458	83.37	5.78421
cpd09459	10000000	10000000
cpd09460	-998.55	7.45757
cpd09461	-22.47	6.91073
cpd09462	-79.74	6.99445
cpd09463	10000000	10000000
cpd09464	-261.974	0.5
cpd09465	-737.569	7.86316
cpd09466	10000000	10000000
cpd09467	10000000	10000000
cpd09468	-98.32	1.90977
cpd09469	10000000	10000000
cpd09470	10000000	10000000
cpd09471	10000000	10000000
cpd09472	19.54	5.96825
cpd09473	6.32	4.54065
cpd09474	-6.9	3.28679
cpd09475	-11.42	2.28576
cpd09476	-15.94	1.74867
cpd09477	3.43	1.86914
cpd09478	-55.42	1.92782
cpd09479	-36.64	1.59715
cpd09480	-52.17	1.76331
cpd09481	-7.38	3.06599
cpd09482	-52.17	1.76331
cpd09483	-0.55	1.962
cpd09484	-95.39	1.74198
cpd09485	-88.4	1.79768
cpd09488	-9.91	0.866006
cpd09489	-47.95	0.901828
cpd09491	35.48	3.12403
cpd09492	60.04	2.18172
cpd09493	10000000	10000000
cpd09495	-197.53	4.35293
cpd09496	-263.13	6.87304
cpd09498	71.86	2.49932
cpd09499	14.75	1.66504
cpd09500	10000000	10000000
cpd09501	10000000	10000000
cpd09502	10000000	10000000
cpd09503	-12.01	3.70998
cpd09504	10000000	10000000
cpd09505	-127.08	1.59522
cpd09506	-171.7	1.70427
cpd09507	32.681	3.02543
cpd09508	52.34	2.3743
cpd09509	10000000	10000000
cpd09510	10000000	10000000
cpd09511	10000000	10000000
cpd09512	10000000	10000000
cpd09513	10000000	10000000
cpd09514	10000000	10000000
cpd09515	10000000	10000000
cpd09516	251.81	11.1553
cpd09517	-133.59	2.34697
cpd09519	212.67	13.9849
cpd09520	-70.98	1.56032
cpd09521	10000000	10000000
cpd09522	-164.87	1.27888
cpd09523	-164.87	1.27888
cpd09524	55.56	2.56684
cpd09525	-12.95	2.41105
cpd09526	-48.77	1.05779
cpd09527	-55.14	1.69867
cpd09528	-70.13	0.886816
cpd09529	-8.93	1.68824
cpd09530	10000000	10000000
cpd09531	-33.428	3.9434
cpd09533	-78.63	1.05198
cpd09534	10000000	10000000
cpd09535	-85.59	2.3031
cpd09536	10000000	10000000
cpd09537	10000000	10000000
cpd09538	10000000	10000000
cpd09539	10000000	10000000
cpd09540	-0.14	2.55546
cpd09541	3.29	2.56187
cpd09542	-18.17	1.82435
cpd09543	22.26	2.25723
cpd09544	-39.93	7.19143
cpd09545	-76.16	7.19114
cpd09546	-63.15	1.04644
cpd09547	-1.37	2.81287
cpd09548	-4.43	3.44665
cpd09549	-63.15	1.04644
cpd09550	10000000	10000000
cpd09551	-23.02	2.33612
cpd09552	-21.53	1.02926
cpd09553	10000000	10000000
cpd09554	-878.78	3.90594
cpd09555	10000000	10000000
cpd09556	-841.33	3.89176
cpd09557	50	1.67652
cpd09558	107.66	6.13749
cpd09559	-95.55	2.29158
cpd09560	10000000	10000000
cpd09561	-176.74	1.34586
cpd09562	-127.26	1.65184
cpd09563	-284.41	0.580625
cpd09564	-261.08	1.11012
cpd09565	10000000	10000000
cpd09566	10000000	10000000
cpd09567	-55.83	1.88356
cpd09568	-128.7	1.5928
cpd09569	-623.23	3.07443
cpd09570	10000000	10000000
cpd09571	10000000	10000000
cpd09572	10000000	10000000
cpd09573	-675.48	3.52944
cpd09574	-439.725	6.921
cpd09575	-223.998	5.30455
cpd09576	-3.19	2.53769
cpd09577	89.02	3.83745
cpd09578	10000000	10000000
cpd09579	10000000	10000000
cpd09580	52.39	2.96061
cpd09581	50.77	2.95931
cpd09582	25.77	2.95075
cpd09583	-103.73	2.75132
cpd09584	10000000	10000000
cpd09585	10000000	10000000
cpd09586	-1.43	2.41933
cpd09587	48.76	3.00335
cpd09588	10000000	10000000
cpd09589	10000000	10000000
cpd09590	23.06	5.59062
cpd09591	-26.6	6.00986
cpd09592	10000000	10000000
cpd09593	97.55	5.32983
cpd09594	-91.56	3.19154
cpd09595	10000000	10000000
cpd09596	-17.82	2.01437
cpd09597	40.23	3.12096
cpd09598	96.13	2.41547
cpd09599	10000000	10000000
cpd09600	10000000	10000000
cpd09601	69.95	4.6716
cpd09602	10000000	10000000
cpd09603	139.25	3.93643
cpd09604	148.49	3.43311
cpd09605	-48.41	9.86668
cpd09606	241.58	4.23942
cpd09607	146.26	2.71698
cpd09608	55.06	2.40882
cpd09609	30.79	3.09173
cpd09610	-38.66	1.27291
cpd09611	234.53	5.80976
cpd09612	-105.35	0.998127
cpd09613	-76.59	2.22912
cpd09614	-65.1	1.19027
cpd09615	10000000	10000000
cpd09616	157.89	3.59628
cpd09617	-71.72	0.925695
cpd09618	-22.05	3.69779
cpd09619	-31.07	7.13723
cpd09620	-65.54	1.71183
cpd09621	-87.54	4.44963
cpd09622	10000000	10000000
cpd09623	-90.55	1.75018
cpd09624	-73.21	7.12494
cpd09625	-46.48	7.56091
cpd09626	26.09	2.61404
cpd09627	-44.14	2.64987
cpd09628	-111.3	1.3327
cpd09629	-111.3	1.3327
cpd09630	-119.47	1.55833
cpd09631	-141.91	3.04117
cpd09632	-141.91	3.04117
cpd09633	-141.91	3.04117
cpd09634	-141.91	3.04117
cpd09635	72.72	2.42661
cpd09636	-51.62	1.2473
cpd09637	10000000	10000000
cpd09638	-71.51	2.24134
cpd09639	-71.51	2.24134
cpd09640	10000000	10000000
cpd09641	-35.62	2.59012
cpd09642	-99.96	3.14762
cpd09643	10000000	10000000
cpd09644	67.33	3.85008
cpd09645	-260.62	3.09621
cpd09646	-40.71	2.5568
cpd09647	-15.9	1.9008
cpd09648	22.13	2.01636
cpd09649	47.73	2.38862
cpd09650	10000000	10000000
cpd09651	-28.11	1.02266
cpd09652	98.85	5.20664
cpd09653	10000000	10000000
cpd09654	14.2	1.31473
cpd09655	10000000	10000000
cpd09656	10000000	10000000
cpd09657	-554.26	13.4842
cpd09658	-36.81	2.05338
cpd09659	0.81	1.74625
cpd09660	7.26	1.85139
cpd09661	39.62	6.06235
cpd09662	16.09	2.7748
cpd09663	-7.99	2.00957
cpd09664	-22.57	5.71612
cpd09665	-18.39	1.49947
cpd09666	145.95	4.5558
cpd09667	97.99	2.78346
cpd09668	-496.45	16.2168
cpd09669	10000000	10000000
cpd09670	122.7	2.94735
cpd09671	56.95	3.30844
cpd09672	-137.43	1.17769
cpd09673	-35.03	2.26606
cpd09674	-35.03	2.26606
cpd09675	-73.99	1.74589
cpd09676	-77.23	1.57896
cpd09677	-51.63	1.65147
cpd09678	-120.12	2.82336
cpd09679	-66.4	2.84144
cpd09680	-39.8	2.86466
cpd09681	-47.28	2.64351
cpd09682	10000000	10000000
cpd09683	-163.73	3.91554
cpd09684	-218.81	1.49213
cpd09685	-163.56	3.96168
cpd09686	-58.52	5.84788
cpd09687	-375.48	6.93064
cpd09688	-258.93	3.6163
cpd09689	-232.93	3.59175
cpd09690	-315.63	3.02351
cpd09691	-289.63	2.99411
cpd09692	-395.27	2.9561
cpd09693	10000000	10000000
cpd09694	-387.3	3.03924
cpd09695	10000000	10000000
cpd09696	-599.8	3.03556
cpd09697	-491.08	3.19747
cpd09698	-332.62	2.82502
cpd09699	-540.62	2.82766
cpd09700	-650.56	2.95024
cpd09701	-612	3.50263
cpd09702	-205.21	3.63468
cpd09703	-186.09	3.46437
cpd09704	-254.03	6.00122
cpd09705	-473.97	6.43826
cpd09706	-394.17	2.93811
cpd09707	-387.7	2.9583
cpd09708	-341.47	2.94058
cpd09709	-335	2.96077
cpd09710	-216.04	2.66373
cpd09711	-38.56	3.48704
cpd09712	-848.91	4.42148
cpd09713	-979.02	7.0295
cpd09714	-993.79	8.20052
cpd09715	-50.47	0.813385
cpd09716	-21.63	1.78045
cpd09717	-61.68	1.22891
cpd09718	-46.24	2.38237
cpd09719	-23.36	5.03873
cpd09720	10000000	10000000
cpd09721	10000000	10000000
cpd09722	10000000	10000000
cpd09723	10000000	10000000
cpd09724	10000000	10000000
cpd09725	10000000	10000000
cpd09726	10000000	10000000
cpd09727	-137.25	3.94135
cpd09728	-71.72	4.09774
cpd09729	-147.97	3.36966
cpd09730	10000000	10000000
cpd09731	-647.53	6.08258
cpd09732	-647.53	6.08258
cpd09733	-563.82	6.62157
cpd09734	-101.35	0.683977
cpd09735	-65.1	1.19027
cpd09736	-87.46	1.246
cpd09737	10000000	10000000
cpd09738	-108.85	1.26641
cpd09739	-800.12	3.2124
cpd09740	10000000	10000000
cpd09742	10000000	10000000
cpd09743	-112.03	2.34617
cpd09744	-221.17	1.9077
cpd09746	-166.55	1.976
cpd09747	10000000	10000000
cpd09749	-139.74	2.27406
cpd09750	10000000	10000000
cpd09751	-108.06	2.76698
cpd09752	-67.74	2.31757
cpd09753	-14.69	3.29381
cpd09754	10000000	10000000
cpd09755	-164.89	2.29333
cpd09756	35.39	1.73873
cpd09758	-146.01	4.28397
cpd09759	-98.37	2.58589
cpd09760	-154.233	8.16771
cpd09761	40.17	3.89431
cpd09762	-162.3	2.41173
cpd09763	-141.54	2.31276
cpd09764	41.99	4.51577
cpd09765	-153.46	3.02102
cpd09766	8.21	1.02732
cpd09767	10000000	10000000
cpd09768	-37.79	2.30187
cpd09769	10000000	10000000
cpd09770	31.24	7.17606
cpd09771	10000000	10000000
cpd09772	10000000	10000000
cpd09773	10000000	10000000
cpd09774	10000000	10000000
cpd09775	10000000	10000000
cpd09776	10000000	10000000
cpd09777	10000000	10000000
cpd09778	10000000	10000000
cpd09779	10000000	10000000
cpd09780	10000000	10000000
cpd09781	10000000	10000000
cpd09782	-20.883	13.8731
cpd09783	-158.3	2.42596
cpd09784	32.55	1.66468
cpd09785	41.441	2.29857
cpd09786	-29.59	1.59192
cpd09787	-41.199	2.21326
cpd09788	-110.3	1.81722
cpd09789	-99.32	1.27929
cpd09790	-41.46	1.08418
cpd09791	-94.16	1.07744
cpd09792	1.531	2.13235
cpd09793	9.461	2.14658
cpd09794	-43.239	2.14319
cpd09795	-110.59	1.61005
cpd09796	-122.199	2.22633
cpd09797	-191.3	1.83983
cpd09798	-180.32	1.35442
cpd09799	-122.46	1.16133
cpd09800	-175.16	1.16566
cpd09801	41.441	2.29857
cpd09802	9.461	2.14658
cpd09803	-122.46	1.16133
cpd09804	-43.239	2.14319
cpd09805	-29.59	1.59192
cpd09806	-94.16	1.07744
cpd09807	-65.82	1.61537
cpd09808	-77.429	2.23019
cpd09809	-146.53	1.82914
cpd09810	-135.55	1.29616
cpd09811	-77.69	1.10404
cpd09812	-130.39	1.09742
cpd09813	-87.24	1.10172
cpd09814	-36.65	1.67311
cpd09815	-142.18	1.10443
cpd09816	-50.8	2.34004
cpd09817	49.66	1.87638
cpd09818	-116.469	2.15101
cpd09819	-815.549	4.15383
cpd09820	-800.119	4.18514
cpd09821	-853.589	4.16355
cpd09822	-847.119	4.1741
cpd09823	-742.319	4.12475
cpd09824	100.161	3.84326
cpd09825	-25.23	2.9132
cpd09826	10000000	10000000
cpd09827	10000000	10000000
cpd09828	-75.94	2.77612
cpd09829	110.64	2.7837
cpd09830	183.78	6.4401
cpd09831	-11.71	0.962346
cpd09832	-39.5	2.12399
cpd09833	-0.19	1.0583
cpd09834	59.88	2.3867
cpd09835	112.52	2.82147
cpd09836	103.06	2.87301
cpd09837	-20.21	1.95099
cpd09838	-29.08	2.16651
cpd09839	-8.48	0.899454
cpd09840	-8.48	0.899454
cpd09841	34.68	1.19538
cpd09842	-858.8	3.59699
cpd09843	-837.99	3.59898
cpd09844	-896.84	3.59742
cpd09845	251.85	5.3304
cpd09846	85.84	2.76889
cpd09847	42.3	2.71181
cpd09848	-1.24	2.70037
cpd09849	19.35	1.66214
cpd09850	-19.35	2.11165
cpd09851	-20.98	2.24563
cpd09852	42.79	2.6932
cpd09853	44.42	2.5317
cpd09854	44.42	2.5317
cpd09855	46.05	2.41364
cpd09856	-50.09	9.50579
cpd09857	-86.32	9.50517
cpd09858	-41.94	6.85735
cpd09859	10000000	10000000
cpd09860	10000000	10000000
cpd09861	10000000	10000000
cpd09862	-53.13	1.6633
cpd09863	-31.02	4.15431
cpd09864	-54.6	4.49121
cpd09865	-92.48	2.00301
cpd09866	-26.81	1.35454
cpd09867	-32.19	1.52432
cpd09868	-33.99	1.58631
cpd09869	-84.32	1.19842
cpd09870	-84.32	1.19842
cpd09871	-15.51	1.80628
cpd09872	-4.38	1.52398
cpd09873	4.3	2.06016
cpd09874	-124.14	1.31742
cpd09875	-22.97	9.77149
cpd09876	-307.77	1.62305
cpd09877	-504.31	1.87457
cpd09878	-205.232	0.750809
cpd09879	-251.32	1.61631
cpd09880	10000000	10000000
cpd09881	10000000	10000000
cpd09882	-77.63	2.28409
cpd09883	10000000	10000000
cpd09884	-5.79	9.65144
cpd09885	35.37	2.42012
cpd09886	48.03	2.11073
cpd09887	-11.71	0.962346
cpd09888	7.64	2.4231
cpd09889	8.04	3.0513
cpd09890	-21.12	1.91803
cpd09891	13	2.04095
cpd09892	13	2.04095
cpd09893	-19.8	3.59603
cpd09894	18.36	1.74699
cpd09895	-24.66	3.29198
cpd09896	-4.6	3.87954
cpd09897	-6.52	3.83022
cpd09898	41.76	2.66498
cpd09899	-11.71	0.962346
cpd09900	34.88	3.67568
cpd09901	31.04	3.60606
cpd09902	-4.6	3.87954
cpd09903	10000000	10000000
cpd09904	-10.27	1.17912
cpd09905	-118.18	1.6152
cpd09906	-29.68	1.57058
cpd09907	18.28	4.83585
cpd09908	-63.02	4.35735
cpd09909	-30	6.87511
cpd09910	-85.65	1.89551
cpd09911	103.81	3.36671
cpd09912	13.4	3.48634
cpd09913	-117.66	1.40793
cpd09914	-47.26	1.78446
cpd09915	10000000	10000000
cpd09916	39.811	2.31319
cpd09917	-70.04	0.746237
cpd09918	-15.26	0.953132
cpd09919	-47.26	1.78446
cpd09920	-34.85	2.0582
cpd09921	62.693	5.88113
cpd09922	-61.71	2.56658
cpd09923	23.72	1.59087
cpd09924	-14.32	1.75087
cpd09925	-10.09	0.966343
cpd09926	-104.7	1.79324
cpd09927	10000000	10000000
cpd09928	-11.43	1.5299
cpd09929	-7.78	1.67143
cpd09930	13	1.78983
cpd09932	0.2	1.96418
cpd09933	-1.3	2.07177
cpd09934	10000000	10000000
cpd09935	-25.01	1.08915
cpd09936	6.29	2.27557
cpd09937	-8.36	2.24667
cpd09938	15.94	4.32546
cpd09939	-132.36	1.58335
cpd09940	-34.85	2.0582
cpd09941	-50.05	4.29894
cpd09942	-88.62	2.16305
cpd09943	2.14	1.6447
cpd09944	6.29	1.29423
cpd09945	52.48	1.88953
cpd09946	41.76	2.66498
cpd09947	52.48	1.88953
cpd09948	100.15	7.13436
cpd09949	20.94	2.38692
cpd09950	10000000	10000000
cpd09951	10000000	10000000
cpd09952	-141.7	1.23723
cpd09953	-9.54	7.25562
